State,County,Year,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days,Max_AQI,Median_AQI,Days_CO,Days_NO2,Days_Ozone,Days_SO2,Days_PM2_5,Days_PM10
Alabama,Baldwin,2015,264,230,33,0,0,0,129,38,0,0,189,0,75,0
Alabama,Clay,2015,112,101,11,0,0,0,91,32,0,0,0,0,112,0
Alabama,Colbert,2015,280,251,29,0,0,0,73,36,0,0,195,0,85,0
Alabama,DeKalb,2015,363,319,43,0,0,0,101,37,0,0,307,0,56,0
Alabama,Elmore,2015,233,223,9,0,0,0,115,35,0,0,233,0,0,0
Alabama,Etowah,2015,365,221,137,3,0,0,170,46,0,0,119,0,246,0
Alabama,Houston,2015,283,259,24,0,0,0,74,33,0,0,211,0,72,0
Alabama,Jefferson,2015,365,203,157,0,0,0,147,48,0,11,106,6,239,3
Alabama,Lawrence,2015,114,105,9,0,0,0,71,27,0,0,0,0,114,0
Alabama,Madison,2015,333,288,45,0,0,0,87,38,0,0,215,0,63,55
Alabama,Mobile,2015,363,274,88,0,0,0,105,40,0,0,140,0,223,0
Alabama,Montgomery,2015,359,227,131,0,0,0,115,45,0,0,112,0,247,0
Alabama,Morgan,2015,365,302,63,0,0,0,92,38,0,0,164,0,201,0
Alabama,Russell,2015,337,196,139,0,0,0,141,47,0,0,76,0,261,0
Alabama,Shelby,2015,257,219,36,0,0,0,115,39,0,0,225,0,32,0
Alabama,Sumter,2015,314,233,80,0,0,0,107,40,0,0,134,0,180,0
Alabama,Talladega,2015,107,76,31,0,0,0,81,40,0,0,0,0,107,0
Alabama,Tuscaloosa,2015,357,193,164,0,0,0,89,49,0,0,50,0,307,0
Alaska,Aleutians East ,2015,117,117,0,0,0,0,33,10,0,0,0,0,117,0
Alaska,Anchorage ,2015,361,301,60,0,0,0,76,28,3,0,0,0,263,95
Alaska,Denali ,2015,363,356,7,0,0,0,89,34,0,0,357,0,6,0
Alaska,Fairbanks North Star ,2015,365,169,133,40,3,0,238,54,0,3,84,2,268,8
Alaska,Juneau ,2015,351,296,55,0,0,0,91,21,0,0,0,0,349,2
Alaska,Kenai Peninsula ,2015,40,40,0,0,0,0,17,5,0,0,0,0,40,0
Alaska,Matanuska-Susitna ,2015,365,286,68,1,0,0,154,29,0,0,190,0,137,38
Alaska,Yukon-Koyukuk ,2015,83,82,1,0,0,0,95,4,0,0,0,0,83,0
Arizona,Apache,2015,361,361,0,0,0,0,35,11,0,0,0,0,52,309
Arizona,Cochise,2015,365,282,83,0,0,0,90,44,0,0,332,0,10,23
Arizona,Coconino,2015,365,260,101,0,0,0,108,44,0,0,359,0,6,0
Arizona,Gila,2015,365,83,155,29,0,0,200,84,0,0,91,248,2,24
Arizona,La Paz,2015,360,273,84,0,0,0,108,42,0,9,292,8,13,38
Arizona,Maricopa,2015,365,85,244,0,0,0,147,64,0,25,219,0,89,32
Arizona,Mohave,2015,364,354,10,0,0,0,58,17,0,0,0,0,41,323
Arizona,Navajo,2015,365,317,48,0,0,0,100,39,0,0,320,0,9,36
Arizona,Pima,2015,365,246,118,0,0,0,101,45,0,2,279,0,17,67
Arizona,Pinal,2015,365,105,214,3,0,10,881,63,0,0,140,0,38,187
Arizona,Santa Cruz,2015,365,294,68,0,0,0,135,30,0,0,0,0,264,101
Arizona,Yavapai,2015,300,235,65,0,0,0,100,41,0,0,275,0,25,0
Arizona,Yuma,2015,365,260,91,0,1,0,266,43,0,0,212,0,20,133
Arkansas,Arkansas,2015,116,88,28,0,0,0,71,34,0,0,0,0,116,0
Arkansas,Ashley,2015,116,92,24,0,0,0,73,31,0,0,0,0,116,0
Arkansas,Clark,2015,320,305,15,0,0,0,87,33,0,0,320,0,0,0
Arkansas,Crittenden,2015,365,308,56,0,0,0,101,36,0,23,291,0,51,0
Arkansas,Garland,2015,120,97,23,0,0,0,72,34,0,0,0,0,120,0
Arkansas,Jackson,2015,119,96,23,0,0,0,64,31,0,0,0,0,119,0
Arkansas,Newton,2015,365,341,24,0,0,0,90,35,0,0,340,0,25,0
Arkansas,Polk,2015,361,313,47,0,0,0,101,38,0,0,312,0,49,0
Arkansas,Pulaski,2015,365,233,132,0,0,0,100,44,0,6,147,0,212,0
Arkansas,Union,2015,365,340,25,0,0,0,85,4,0,0,0,248,117,0
Arkansas,Washington,2015,365,328,37,0,0,0,90,37,0,0,325,0,40,0
California,Alameda,2015,365,214,139,0,0,0,147,46,0,15,180,0,170,0
California,Alpine,2015,31,1,14,3,0,0,170,102,0,0,0,0,31,0
California,Amador,2015,364,283,73,0,0,0,140,41,0,0,364,0,0,0
California,Butte,2015,365,170,182,1,0,0,152,52,0,0,237,0,127,1
California,Calaveras,2015,365,245,98,2,1,1,320,45,0,0,274,0,91,0
California,Colusa,2015,365,229,130,2,0,0,191,46,0,0,154,0,208,3
