State,Days_with_AQI,Year,Good_Days,Moderate_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days,Days_CO,Days_NO2,Days_Ozone,Days_SO2,Days_PM2.5,Days_PM10,Latitude,Longitude
Alabama,264.8333333333333,2012.9888888888888,205.45555555555555,57.28888888888889,0.15555555555555556,0.0,0.15555555555555556,0.022222222222222223,0.2111111111111111,163.2111111111111,1.1333333333333333,96.64444444444445,3.611111111111111,37.960507555555566,-99.02379967777779
Alaska,277.95,2013.0,232.375,37.5,3.75,0.2,3.75,1.5,0.475,74.125,0.3,165.475,36.075,40.44234934999999,-84.21882905
Arizona,344.0615384615385,2013.0,206.2923076923077,113.61538461538461,2.953846153846154,0.49230769230769234,2.953846153846154,0.0,2.476923076923077,180.16923076923078,18.692307692307693,32.10769230769231,110.61538461538461,40.38009403076924,-92.56680578461535
Arkansas,246.34375,2012.765625,193.28125,51.171875,0.109375,0.0,0.109375,0.0,2.796875,136.828125,19.390625,87.328125,0.0,38.57673045762711,-89.38057618644069
California,346.0111111111111,2013.0,195.3148148148148,120.75185185185185,5.774074074074074,0.2740740740740741,5.774074074074074,0.08888888888888889,5.866666666666666,206.56296296296296,0.07407407407407407,119.23703703703704,14.181481481481482,40.836797,-93.8725935
Colorado,294.5974025974026,2012.9805194805194,212.62337662337663,74.62987012987013,0.45454545454545453,0.05194805194805195,0.45454545454545453,0.13636363636363635,8.318181818181818,206.38311688311688,0.7207792207792207,17.896103896103895,61.142857142857146,,
Connecticut,308.875,2013.0,225.475,72.75,1.85,0.0,1.85,1.2,9.25,193.325,0.375,104.625,0.1,,
Delaware,363.0,2013.0,251.53333333333333,102.4,1.3333333333333333,0.0,1.3333333333333333,0.0,1.8666666666666667,245.66666666666666,0.4,115.06666666666666,0.0,,
District Of Columbia,365.2,2013.0,181.4,173.0,1.4,0.0,1.4,0.0,24.8,144.4,0.2,195.8,0.0,,
Florida,355.3298969072165,2013.0,303.66494845360825,49.95876288659794,0.08762886597938144,0.005154639175257732,0.08762886597938144,0.005154639175257732,0.5618556701030928,231.31443298969072,10.639175257731958,103.6340206185567,9.175257731958762,,
Georgia,295.9125,2013.0,206.75,85.85625,0.25,0.0125,0.25,0.03125,4.68125,111.26875,4.7625,174.6375,0.53125,,
Hawaii,354.25,2013.0,247.55,32.1,39.65,0.4,39.65,1.15,12.55,39.5,95.9,202.85,2.3,,
Idaho,309.43589743589746,2013.051282051282,259.2307692307692,44.205128205128204,1.6025641025641026,0.24358974358974358,1.6025641025641026,0.3076923076923077,3.0128205128205128,41.67948717948718,31.55128205128205,188.84615384615384,44.03846153846154,,
Illinois,331.54615384615386,2013.0,262.76153846153846,63.146153846153844,0.6076923076923076,0.015384615384615385,0.6076923076923076,0.6384615384615384,2.9692307692307693,220.98461538461538,48.59230769230769,57.53846153846154,0.823076923076923,,
Indiana,278.712962962963,2013.0416666666667,198.77314814814815,74.91666666666667,0.3425925925925926,0.027777777777777776,0.3425925925925926,0.4212962962962963,1.6990740740740742,109.1574074074074,59.800925925925924,106.58796296296296,1.0462962962962963,,
Iowa,286.8854166666667,2012.9791666666667,200.46875,83.14583333333333,0.34375,0.0,0.34375,0.0,0.75,87.48958333333333,14.885416666666666,159.30208333333334,24.458333333333332,,
Kansas,285.125,2012.859375,227.796875,52.5,0.21875,0.0,0.21875,0.0625,5.125,195.65625,2.6875,43.25,38.34375,,
Kentucky,306.28275862068966,2012.9724137931034,237.1448275862069,64.6,0.3724137931034483,0.027586206896551724,0.3724137931034483,0.013793103448275862,3.682758620689655,198.60689655172413,13.427586206896551,88.49655172413793,2.0551724137931036,,
Louisiana,333.73636363636365,2013.0,248.83636363636364,79.63636363636364,0.6090909090909091,0.0,0.6090909090909091,0.02727272727272727,3.2454545454545456,203.3090909090909,4.081818181818182,122.71818181818182,0.35454545454545455,,
Maine,296.50877192982455,2013.0,268.12280701754383,27.280701754385966,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,6.298245614035087,220.89473684210526,4.754385964912281,61.3859649122807,3.1228070175438596,,
Maryland,311.2207792207792,2013.0389610389611,213.85714285714286,89.59740259740259,1.155844155844156,0.09090909090909091,1.155844155844156,0.1038961038961039,8.519480519480519,189.45454545454547,0.15584415584415584,112.83116883116882,0.15584415584415584,,
Massachusetts,342.48387096774195,2013.0483870967741,272.51612903225805,66.46774193548387,0.27419354838709675,0.016129032258064516,0.27419354838709675,0.016129032258064516,7.274193548387097,205.06451612903226,1.3709677419354838,128.53225806451613,0.22580645161290322,,
Michigan,267.67857142857144,2013.0,207.79285714285714,53.33571428571429,0.6,0.04285714285714286,0.6,0.0,0.9714285714285714,171.50714285714287,12.542857142857143,81.72142857142858,0.9357142857142857,,
Minnesota,304.7307692307692,2013.0,257.6730769230769,46.29807692307692,0.028846153846153848,0.0,0.028846153846153848,0.3269230769230769,5.961538461538462,130.84615384615384,2.3846153846153846,157.17307692307693,8.038461538461538,,
Mississippi,303.4,2012.909090909091,236.45454545454547,65.14545454545454,0.05454545454545454,0.0,0.05454545454545454,0.0,8.4,159.36363636363637,1.7272727272727273,133.9090909090909,0.0,,
Missouri,291.4054054054054,2013.018018018018,204.7117117117117,77.29729729729729,0.7747747747747747,0.0,0.7747747747747747,0.0,2.963963963963964,154.2072072072072,25.73873873873874,95.0,13.495495495495495,,
Montana,296.2340425531915,2013.0212765957447,242.11702127659575,48.97872340425532,1.5638297872340425,0.07446808510638298,1.5638297872340425,0.2872340425531915,1.3936170212765957,89.6063829787234,9.03191489361702,170.1595744680851,25.75531914893617,,
Nebraska,211.1818181818182,2013.0,173.74545454545455,36.43636363636364,0.01818181818181818,0.0,0.01818181818181818,2.4909090909090907,0.0,67.03636363636363,2.2,96.61818181818182,42.836363636363636,,
Nevada,301.0416666666667,2012.9375,218.5,74.72916666666667,0.9166666666666666,0.14583333333333334,0.9166666666666666,8.8125,2.5625,160.9375,0.0,48.666666666666664,80.0625,,
New Hampshire,342.6857142857143,2013.0,282.57142857142856,56.68571428571428,0.2857142857142857,0.0,0.2857142857142857,0.17142857142857143,0.0,251.68571428571428,16.457142857142856,74.37142857142857,0.0,,
