State,County,Year,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days,Max_AQI,Median_AQI,Days_CO,Days_NO2,Days_Ozone,Days_SO2,Days_PM2_5,Days_PM10
Alabama,Baldwin,2010,274,188,80,0,0,0,150,43,0,0,192,0,82,0
Alabama,Clay,2010,113,79,34,0,0,0,86,42,0,0,0,0,113,0
Alabama,Colbert,2010,355,208,146,0,0,0,105,47,0,0,114,0,241,0
Alabama,DeKalb,2010,358,248,106,0,0,0,101,43,0,0,303,0,55,0
Alabama,Elmore,2010,241,181,55,0,0,0,112,43,0,0,241,0,0,0
Alabama,Etowah,2010,363,148,214,0,0,0,104,54,0,0,78,0,285,0
Alabama,Houston,2010,357,195,158,0,0,0,115,48,0,0,116,0,241,0
Alabama,Jefferson,2010,365,106,229,4,0,0,166,59,1,0,124,4,206,30
Alabama,Lawrence,2010,112,93,19,0,0,0,59,34,0,0,0,0,112,0
Alabama,Madison,2010,335,230,101,0,0,0,136,44,0,0,201,0,84,50
Alabama,Mobile,2010,363,270,85,0,0,0,140,40,0,0,205,0,70,88
Alabama,Montgomery,2010,364,186,172,0,0,0,129,50,0,0,105,0,258,1
Alabama,Morgan,2010,361,187,171,0,0,0,108,50,0,0,149,0,212,0
Alabama,Russell,2010,287,174,111,0,0,0,108,47,0,0,191,0,96,0
Alabama,Shelby,2010,278,175,96,2,0,0,156,46,0,0,207,0,71,0
Alabama,Sumter,2010,242,206,35,0,0,0,119,39,0,0,242,0,0,0
Alabama,Talladega,2010,117,64,53,0,0,0,76,48,0,0,0,0,117,0
Alabama,Tuscaloosa,2010,365,127,238,0,0,0,89,55,0,0,21,0,344,0
Alabama,Walker,2010,113,68,45,0,0,0,74,45,0,0,0,0,113,0
Alaska,Aleutians East ,2010,102,102,0,0,0,0,34,8,0,0,0,0,102,0
Alaska,Anchorage ,2010,365,295,68,0,0,0,127,32,17,0,112,0,172,64
Alaska,Denali ,2010,363,363,0,0,0,0,49,33,0,0,363,0,0,0
Alaska,Fairbanks North Star ,2010,355,222,98,8,0,0,172,36,2,0,0,0,353,0
Alaska,Juneau ,2010,359,264,94,0,0,0,112,26,0,0,0,0,359,0
Alaska,Kenai Peninsula ,2010,121,121,0,0,0,0,17,5,0,0,0,0,121,0
Alaska,Matanuska-Susitna ,2010,317,295,19,0,0,0,118,13,0,0,0,0,306,11
Alaska,Yukon-Koyukuk ,2010,115,114,1,0,0,0,79,5,0,0,0,0,115,0
Arizona,Apache,2010,360,360,0,0,0,0,45,14,0,0,0,0,45,315
Arizona,Cochise,2010,363,258,101,0,0,0,112,45,0,0,337,0,21,5
Arizona,Coconino,2010,363,237,122,0,0,0,136,46,0,0,343,0,6,14
Arizona,Gila,2010,365,68,154,23,0,0,200,84,0,0,49,286,0,30
Arizona,La Paz,2010,213,121,88,0,0,0,105,48,0,0,213,0,0,0
Arizona,Maricopa,2010,365,100,236,2,0,0,165,61,0,68,213,0,48,36
Arizona,Mohave,2010,118,118,0,0,0,0,38,14,0,0,0,0,65,53
Arizona,Navajo,2010,364,279,83,0,0,0,112,44,0,0,360,0,1,3
Arizona,Pima,2010,365,208,152,0,0,0,141,49,0,5,296,0,5,59
Arizona,Pinal,2010,365,90,234,0,0,2,1657,69,0,0,137,0,6,222
Arizona,Santa Cruz,2010,165,100,59,0,0,0,119,42,0,0,0,0,28,137
Arizona,Yavapai,2010,263,219,43,0,0,0,122,42,0,0,209,0,53,1
Arizona,Yuma,2010,358,261,89,0,0,0,147,40,0,0,188,0,14,156
Arkansas,Arkansas,2010,118,68,50,0,0,0,83,48,0,0,0,0,118,0
Arkansas,Ashley,2010,120,73,47,0,0,0,72,45,0,0,0,0,120,0
Arkansas,Clark,2010,359,310,45,0,0,0,126,35,0,0,359,0,0,0
Arkansas,Crittenden,2010,365,243,106,2,0,0,164,42,0,47,256,0,62,0
Arkansas,Faulkner,2010,120,71,49,0,0,0,78,45,0,0,0,0,120,0
Arkansas,Garland,2010,121,71,50,0,0,0,72,45,0,0,0,0,121,0
Arkansas,Jackson,2010,120,72,48,0,0,0,90,44,0,0,0,0,120,0
Arkansas,Newton,2010,365,291,72,0,0,0,105,39,0,0,342,0,23,0
Arkansas,Phillips,2010,120,64,56,0,0,0,75,46,0,0,0,0,120,0
Arkansas,Polk,2010,362,245,108,0,0,0,136,43,0,0,306,0,56,0
Arkansas,Pope,2010,119,73,46,0,0,0,93,44,0,0,0,0,119,0
Arkansas,Pulaski,2010,365,142,215,0,0,0,133,55,0,3,137,0,225,0
Arkansas,Sebastian,2010,110,66,44,0,0,0,84,46,0,0,0,0,110,0
Arkansas,Union,2010,365,312,53,0,0,0,95,7,0,0,0,246,119,0
Arkansas,Van Buren,2010,174,163,11,0,0,0,93,31,0,0,174,0,0,0
Arkansas,Washington,2010,365,276,88,0,0,0,112,40,0,0,302,0,63,0
Arkansas,White,2010,117,60,57,0,0,0,89,48,0,0,0,0,117,0
California,Alameda,2010,365,245,115,1,0,0,179,43,0,30,137,0,198,0
California,Amador,2010,361,302,48,1,0,0,151,35,0,0,361,0,0,0
California,Butte,2010,365,208,144,0,0,0,126,47,0,0,264,0,101,0
California,Calaveras,2010,365,271,81,1,0,0,154,41,0,0,311,0,54,0
California,Colusa,2010,353,322,30,0,0,0,119,38,0,0,306,0,42,5
California,Contra Costa,2010,365,307,49,1,0,0,154,39,0,11,287,2,63,2
California,Del Norte,2010,110,109,1,0,0,0,52,12,0,0,0,0,65,45
California,El Dorado,2010,365,251,89,2,0,0,192,42,0,0,365,0,0,0
California,Fresno,2010,365,99,179,21,1,0,209,70,0,1,211,0,153,0
California,Glenn,2010,365,279,86,0,0,0,91,42,0,0,250,0,114,1
California,Humboldt,2010,362,355,7,0,0,0,71,30,1,7,316,0,35,3
California,Imperial,2010,365,163,151,0,0,0,140,53,1,53,265,0,42,4
California,Inyo,2010,365,248,86,1,6,11,4466,44,0,0,259,0,31,75
California,Kern,2010,365,80,160,38,2,0,202,79,0,1,220,0,140,4
