State,County,Year,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days,Max_AQI,Median_AQI,Days_CO,Days_NO2,Days_Ozone,Days_SO2,Days_PM2_5,Days_PM10
Alabama,Baldwin,2014,280,232,46,0,0,0,112,38,0,0,205,0,75,0
Alabama,Clay,2014,114,96,18,0,0,0,70,36,0,0,0,0,114,0
Alabama,Colbert,2014,284,251,33,0,0,0,87,37,0,0,206,0,78,0
Alabama,DeKalb,2014,360,313,47,0,0,0,90,38,0,0,300,0,60,0
Alabama,Elmore,2014,245,224,21,0,0,0,84,36,0,0,245,0,0,0
Alabama,Etowah,2014,281,244,37,0,0,0,97,38,0,0,207,0,74,0
Alabama,Houston,2014,279,241,38,0,0,0,80,38,0,0,212,0,67,0
Alabama,Jefferson,2014,365,158,201,0,0,0,112,53,0,7,71,2,283,2
Alabama,Lawrence,2014,104,92,12,0,0,0,83,27,0,0,0,0,104,0
Alabama,Madison,2014,338,281,57,0,0,0,97,39,0,0,214,0,68,56
Alabama,Mobile,2014,285,224,55,0,0,0,115,41,0,0,223,0,61,1
Alabama,Montgomery,2014,284,235,49,0,0,0,87,40,0,0,198,0,86,0
Alabama,Morgan,2014,283,238,45,0,0,0,93,39,0,0,209,0,74,0
Alabama,Russell,2014,284,218,65,0,0,0,108,40,0,0,184,0,100,0
Alabama,Shelby,2014,273,226,46,0,0,0,119,40,0,0,210,0,63,0
Alabama,Sumter,2014,241,232,9,0,0,0,74,34,0,0,241,0,0,0
Alabama,Talladega,2014,108,86,22,0,0,0,79,37,0,0,0,0,108,0
Alabama,Tuscaloosa,2014,280,251,29,0,0,0,93,36,0,0,190,0,90,0
Alaska,Aleutians East ,2014,105,104,1,0,0,0,56,9,0,0,0,0,105,0
Alaska,Anchorage ,2014,360,275,82,1,0,0,152,28,9,0,0,0,190,161
Alaska,Denali ,2014,341,333,8,0,0,0,80,31,0,0,330,0,11,0
Alaska,Fairbanks North Star ,2014,364,176,107,46,1,0,206,53,0,16,104,2,227,15
Alaska,Juneau ,2014,352,285,65,0,0,0,129,24,0,0,0,0,346,6
Alaska,Kenai Peninsula ,2014,199,184,13,2,0,0,185,9,0,0,0,0,129,70
Alaska,Matanuska-Susitna ,2014,365,281,73,1,1,0,231,30,0,0,111,0,196,58
Alaska,Yukon-Koyukuk ,2014,107,107,0,0,0,0,25,4,0,0,0,0,107,0
Arizona,Apache,2014,365,364,1,0,0,0,67,14,0,0,0,0,48,317
Arizona,Cochise,2014,365,225,135,0,0,0,137,47,0,0,264,0,18,83
Arizona,Coconino,2014,357,250,102,0,0,0,126,44,0,0,346,0,11,0
Arizona,Gila,2014,365,97,129,22,0,0,200,79,0,0,68,254,1,42
Arizona,La Paz,2014,358,264,90,0,0,0,136,44,0,1,349,0,0,8
Arizona,Maricopa,2014,365,41,279,2,1,0,221,67,0,16,198,0,86,65
Arizona,Mohave,2014,365,356,9,0,0,0,77,18,0,0,0,0,19,346
Arizona,Navajo,2014,365,272,91,0,0,0,101,44,0,0,359,0,1,5
Arizona,Pima,2014,365,220,142,0,0,0,129,48,0,5,247,0,28,85
Arizona,Pinal,2014,365,60,218,17,3,12,881,71,0,0,77,0,30,258
Arizona,Santa Cruz,2014,365,267,94,2,0,0,199,34,0,0,0,0,121,244
Arizona,Yavapai,2014,280,185,89,0,0,0,140,44,0,0,242,0,38,0
Arizona,Yuma,2014,365,221,127,3,2,0,284,47,0,0,194,0,45,126
Arkansas,Arkansas,2014,115,91,24,0,0,0,91,34,0,0,0,0,115,0
Arkansas,Ashley,2014,118,97,21,0,0,0,73,33,0,0,0,0,118,0
Arkansas,Clark,2014,352,342,10,0,0,0,90,33,0,0,352,0,0,0
Arkansas,Crittenden,2014,365,317,48,0,0,0,93,37,0,25,288,0,52,0
Arkansas,Garland,2014,121,92,29,0,0,0,79,35,0,0,0,0,121,0
Arkansas,Jackson,2014,105,75,30,0,0,0,83,34,0,0,0,0,105,0
Arkansas,Newton,2014,365,336,29,0,0,0,87,36,0,0,342,0,23,0
Arkansas,Polk,2014,360,304,56,0,0,0,100,38,0,0,299,0,61,0
Arkansas,Pulaski,2014,365,228,134,0,0,0,115,44,0,7,135,0,223,0
Arkansas,Union,2014,365,335,30,0,0,0,89,4,0,0,0,248,117,0
Arkansas,Washington,2014,365,316,49,0,0,0,86,39,0,0,320,0,45,0
California,Alameda,2014,365,246,109,0,0,0,133,43,0,33,155,0,177,0
California,Alpine,2014,50,47,3,0,0,0,80,23,0,0,0,0,50,0
California,Amador,2014,359,263,86,0,0,0,133,42,0,0,359,0,0,0
California,Butte,2014,365,173,178,2,0,0,155,52,0,0,228,0,137,0
California,Calaveras,2014,361,264,93,0,0,0,115,44,0,0,279,0,82,0
California,Colusa,2014,365,243,122,0,0,0,99,44,0,0,159,0,205,1
California,Contra Costa,2014,365,234,126,0,0,0,133,45,0,1,172,0,192,0
California,Del Norte,2014,115,112,3,0,0,0,55,12,0,0,0,0,115,0
California,El Dorado,2014,365,223,96,3,0,0,161,45,0,0,355,0,3,7
California,Fresno,2014,365,74,167,33,0,0,197,81,0,0,231,0,131,3
California,Glenn,2014,365,289,75,0,0,0,105,41,0,0,259,0,93,13
California,Humboldt,2014,365,220,139,1,0,0,164,43,0,0,89,0,270,6
California,Imperial,2014,365,46,265,5,2,2,359,67,0,2,109,0,160,94
California,Inyo,2014,365,233,117,5,1,3,911,47,0,0,294,0,28,43
California,Kern,2014,365,32,173,42,0,1,307,97,0,0,230,0,127,8
California,Kings,2014,365,85,203,25,0,0,172,71,0,0,204,0,116,45
California,Lake,2014,357,335,22,0,0,0,93,37,0,0,352,0,4,1
California,Los Angeles,2014,365,23,234,26,2,0,205,80,0,19,170,0,172,4
California,Madera,2014,365,95,195,15,0,0,179,67,0,0,221,0,133,11
California,Marin,2014,365,261,103,0,0,0,107,43,0,6,59,0,300,0
California,Mariposa,2014,365,195,143,1,0,0,153,49,0,0,305,0,56,4
California,Mendocino,2014,365,292,73,0,0,0,95,38,0,0,166,0,198,1
California,Merced,2014,364,148,158,2,0,0,156,60,0,2,250,0,110,2
California,Mono,2014,365,333,20,3,2,6,2514,15,0,0,0,0,20,345
California,Monterey,2014,365,337,28,0,0,0,100,37,0,0,263,0,73,29
California,Napa,2014,365,214,151,0,0,0,88,46,0,0,74,0,291,0
California,Nevada,2014,365,214,117,1,0,0,163,46,0,0,358,0,7,0
California,Orange,2014,365,83,261,2,0,0,156,59,0,18,69,0,276,2
