State,year,Population,HHI,PovertyRate
Washington,2013,6819579,59478,13.09774401
West Virginia,2013,1853619,41043,17.34693052
Wisconsin,2013,5706871,52413,12.6817305
Wyoming,2013,570134,57406,11.18035409
Alabama,2014,4817678,43511,18.46761033
Alaska,2014,728300,71829,9.867636963
Arizona,2014,6561516,49928,17.82071399
Arkansas,2014,2947036,41264,18.6391683
California,2014,38066920,61489,16.06445701
Colorado,2014,5197580,59448,12.77250182
Connecticut,2014,3592053,69899,10.1540818
Delaware,2014,917060,60231,11.67873422
District of Columbia,2014,633736,69235,17.25923728
Florida,2014,19361792,47212,16.31697624
Georgia,2014,9907756,49342,17.97973224
Hawaii,2014,1392704,68201,11.03981894
Idaho,2014,1599464,47334,15.29374841
Illinois,2014,12868747,57166,14.06873567
Indiana,2014,6542411,48737,15.03766731
Iowa,2014,3078116,52716,12.14596851
Kansas,2014,2882946,51872,13.39123244
Kentucky,2014,4383272,43342,18.3394049
Louisiana,2014,4601049,44991,19.00953456
Maine,2014,1328535,48804,13.53957555
Maryland,2014,5887776,74149,9.738532852
Massachusetts,2014,6657291,67846,11.15745128
Michigan,2014,9889024,49087,16.51645299
Minnesota,2014,5383661,60828,11.25184145
Mississippi,2014,2984345,39464,21.90517517
Missouri,2014,6028076,47764,15.13403282
Montana,2014,1006370,46766,14.91459404
Nebraska,2014,1855617,52400,12.48975408
Nevada,2014,2761584,52205,15.33822618
New Hampshire,2014,1321069,65986,8.581989283
New Jersey,2014,8874374,72062,10.53217951
New Mexico,2014,2080085,44968,20.48550901
New York,2014,19594330,58687,15.20093313
North Carolina,2014,9750405,46693,17.11874532
North Dakota,2014,704925,55579,11.47143313
Ohio,2014,11560380,48849,15.48879881
Oklahoma,2014,3818851,46235,16.37948168
Oregon,2014,3900343,50521,16.37845697
Pennsylvania,2014,12758729,53115,13.07228957
Rhode Island,2014,1053252,56423,13.67156198
South Carolina,2014,4727273,45033,17.77221244
South Dakota,2014,834708,50338,13.71066289
Tennessee,2014,6451365,44621,17.38149988
Texas,2014,26092033,52576,17.24677414
Utah,2014,2858111,59846,12.54961756
Vermont,2014,626358,54447,11.50204835
Virginia,2014,8185131,64792,11.16948525
Washington,2014,6899123,60294,13.28232588
West Virginia,2014,1853881,41576,17.59686841
Wisconsin,2014,5724692,52738,12.90125303
Wyoming,2014,575251,58252,11.34652526
Alabama,2015,4830620,43623,18.36741453
Alaska,2015,733375,72515,9.948116584
Arizona,2015,6641928,50255,17.77631435
Arkansas,2015,2958208,41371,18.71551967
California,2015,38421464,61818,15.96800684
Colorado,2015,5278906,60629,12.38834334
Connecticut,2015,3593222,70331,10.19561274
Delaware,2015,926454,60509,11.69135219
District of Columbia,2015,647484,70848,17.04520884
Florida,2015,19645772,47507,16.18724375
Georgia,2015,10006693,49620,17.87750459
Hawaii,2015,1406299,69515,10.94674746
Idaho,2015,1616547,47583,15.16671028
Illinois,2015,12873761,57574,13.99061238
Indiana,2015,6568645,49255,14.88957007
Iowa,2015,3093526,53183,12.08598214
Kansas,2015,2892987,52205,13.18198112
Kentucky,2015,4397353,43740,18.32559269
Louisiana,2015,4625253,45047,19.20500349
Maine,2015,1329100,49331,13.56391543
Maryland,2015,5930538,74551,9.726014739
Massachusetts,2015,6705586,68563,11.16837514
Michigan,2015,9900571,49576,16.33107828
Minnesota,2015,5419171,61492,11.01020802
Mississippi,2015,2988081,39665,21.80479713
Missouri,2015,6045448,48173,15.15143295
Montana,2015,1014699,47169,14.84046008
Nebraska,2015,1869365,52997,12.36328914
Nevada,2015,2798636,51847,15.23374244
New Hampshire,2015,1324201,66779,8.596882195
New Jersey,2015,8904413,72093,10.61099704
New Mexico,2015,2084117,44963,20.60157851
New York,2015,19673174,59269,15.27940026
North Carolina,2015,9845333,46868,16.93660336
North Dakota,2015,721640,57181,11.05232526
Ohio,2015,11575977,49429,15.34070083
Oklahoma,2015,3849733,46879,16.21003327
Oregon,2015,3939233,51243,16.16931519
Pennsylvania,2015,12779559,53599,13.04089601
Rhode Island,2015,1053661,56852,13.68779902
South Carolina,2015,4777576,45483,17.39168566
South Dakota,2015,843190,50957,13.62765213
Tennessee,2015,6499615,45219,17.19477231
Texas,2015,26538614,53207,16.8526171
Utah,2015,2903379,60727,12.1100621
Vermont,2015,626604,55176,11.04892404
Virginia,2015,8256630,65015,11.1646277
Washington,2015,6985464,61062,13.00575023
West Virginia,2015,1851420,41751,17.46680926
Wisconsin,2015,5742117,53357,12.61465066
Wyoming,2015,579679,58840,11.21223988
