Name,Population,HHI,PovertyRate
Alabama,4777326,43160,17.6310346
Alaska,711139,69917,9.36961691
Arizona,6410979,50256,16.76789146
Arkansas,2916372,40531,18.18385995
California,37325068,61400,14.9767979
Colorado,5042853,58244,12.56982902
Connecticut,3572213,69519,9.647129105
Delaware,900131,60119,11.18226125
District of Columbia,605759,64267,17.43366586
Florida,18885152,47309,15.28794155
Georgia,9714569,49604,16.93612964
Hawaii,1362730,67492,10.49371482
Idaho,1567803,47015,14.77251925
Illinois,12823860,56853,13.33814468
Indiana,6485530,48374,14.2952542
Iowa,3047646,51129,11.83437971
Kansas,2851183,51273,12.82471171
Kentucky,4340167,42610,18.00587397
Louisiana,4529605,44673,18.13014601
Maine,1329084,48219,12.91445838
Maryland,5785496,72999,9.19741367
Massachusetts,6560595,66658,10.64363827
Michigan,9897264,48471,15.98443772
Minnesota,5313081,59126,10.96040132
Mississippi,2967620,38882,21.57055149
Missouri,5982413,47333,14.52651296
Montana,990785,45456,14.44501077
Nebraska,1827306,51381,12.05293476
Nevada,2704204,54083,14.02249978
New Hampshire,1317474,64925,8.182324661
New Jersey,8793888,71637,9.672160937
New Mexico,2055287,44886,19.12818015
New York,19398125,57683,14.50866514
North Carolina,9544249,46450,16.38121554
North Dakota,676253,51641,11.67166726
Ohio,11533561,48246,14.94321658
Oklahoma,3749005,44891,16.07354485
Oregon,3836628,50036,15.2232377
Pennsylvania,12699589,52267,12.63398367
Rhode Island,1052471,56102,12.68082446
South Carolina,4630351,44623,17.01356981
South Dakota,815871,49091,13.27648611
Tennessee,6353226,44140,16.82636506
Texas,25208897,51563,16.939329
Utah,2766233,58164,11.91381926
Vermont,625498,54168,11.09691798
Virginia,8014955,63636,10.71786429
Washington,6738714,59374,12.67244759
West Virginia,1850481,40400,17.1050662
Wisconsin,5687219,52627,12.14709685
Wyoming,562803,56573,10.77392978
