Name,Population,HHI,PovertyRate
Alabama,4799277,43253,18.1408783
Alaska,720316,70760,9.650486731
Arizona,6479703,49774,17.46840866
Arkansas,2933369,40768,18.65868222
California,37659181,61094,15.62810673
Colorado,5119329,58433,12.90938715
Connecticut,3583561,69461,9.888153153
Delaware,908446,59878,11.40772264
District of Columbia,619371,65830,17.63078995
Florida,19091156,46956,15.990687
Georgia,9810417,49179,17.70240755
Hawaii,1376298,67402,10.86472552
Idaho,1583364,46767,15.17642185
Illinois,12848554,56797,13.79402694
Indiana,6514861,48248,14.88720941
Iowa,3062553,51843,11.99698422
Kansas,2868107,51332,13.34747971
Kentucky,4361333,43036,18.2559323
Louisiana,4567968,44874,18.53734527
Maine,1328320,48453,13.22151289
Maryland,5834299,73538,9.569770079
Massachusetts,6605058,66866,10.98175065
Michigan,9886095,48411,16.44716139
Minnesota,5347740,59836,11.18960533
Mississippi,2976872,39031,21.94656001
Missouri,6007182,47380,14.99753129
Montana,998554,46230,14.87430825
Nebraska,1841625,51672,12.42321319
Nevada,2730066,52800,14.77304944
New Hampshire,1319171,64916,8.403686861
New Jersey,8832406,71629,10.19634967
New Mexico,2069706,44927,19.99322609
New York,19487053,58003,14.90210962
North Carolina,9651380,46334,17.0275028
North Dakota,689781,53741,11.51568396
Ohio,11549590,48308,15.35857983
Oklahoma,3785742,45339,16.34245017
Oregon,3868721,50229,15.89098826
Pennsylvania,12731381,52548,12.87228777
Rhode Island,1051695,56361,13.04979105
South Carolina,4679602,44779,17.52943947
South Dakota,825198,49495,13.58292192
Tennessee,6402387,44298,17.2081444
Texas,25639373,51900,17.22674342
Utah,2813673,58821,12.4465423
Vermont,625904,54267,11.32330198
Virginia,8100653,63907,10.95707963
Washington,6819579,59478,13.09774401
West Virginia,1853619,41043,17.34693052
Wisconsin,5706871,52413,12.6817305
Wyoming,570134,57406,11.18035409
