Name,Population,HHI,PovertyRate
Alabama,4830620,43623,18.36741453
Alaska,733375,72515,9.948116584
Arizona,6641928,50255,17.77631435
Arkansas,2958208,41371,18.71551967
California,38421464,61818,15.96800684
Colorado,5278906,60629,12.38834334
Connecticut,3593222,70331,10.19561274
Delaware,926454,60509,11.69135219
District of Columbia,647484,70848,17.04520884
Florida,19645772,47507,16.18724375
Georgia,10006693,49620,17.87750459
Hawaii,1406299,69515,10.94674746
Idaho,1616547,47583,15.16671028
Illinois,12873761,57574,13.99061238
Indiana,6568645,49255,14.88957007
Iowa,3093526,53183,12.08598214
Kansas,2892987,52205,13.18198112
Kentucky,4397353,43740,18.32559269
Louisiana,4625253,45047,19.20500349
Maine,1329100,49331,13.56391543
Maryland,5930538,74551,9.726014739
Massachusetts,6705586,68563,11.16837514
Michigan,9900571,49576,16.33107828
Minnesota,5419171,61492,11.01020802
Mississippi,2988081,39665,21.80479713
Missouri,6045448,48173,15.15143295
Montana,1014699,47169,14.84046008
Nebraska,1869365,52997,12.36328914
Nevada,2798636,51847,15.23374244
New Hampshire,1324201,66779,8.596882195
New Jersey,8904413,72093,10.61099704
New Mexico,2084117,44963,20.60157851
New York,19673174,59269,15.27940026
North Carolina,9845333,46868,16.93660336
North Dakota,721640,57181,11.05232526
Ohio,11575977,49429,15.34070083
Oklahoma,3849733,46879,16.21003327
Oregon,3939233,51243,16.16931519
Pennsylvania,12779559,53599,13.04089601
Rhode Island,1053661,56852,13.68779902
South Carolina,4777576,45483,17.39168566
South Dakota,843190,50957,13.62765213
Tennessee,6499615,45219,17.19477231
Texas,26538614,53207,16.8526171
Utah,2903379,60727,12.1100621
Vermont,626604,55176,11.04892404
Virginia,8256630,65015,11.1646277
Washington,6985464,61062,13.00575023
West Virginia,1851420,41751,17.46680926
Wisconsin,5742117,53357,12.61465066
Wyoming,579679,58840,11.21223988
